자,子,쥐,양,수,水,#666,기른다,도화,감각적,실천력이 약함,흑,북,11월,대설,23:30,子子 도화살이ㅡ로 자신의 인기를 기반으로 하는 직업이 좋다. 건강 주의
축,丑,소,음,토,土,#fc6,끈,고집,꾸준함,쓸데없는 고집,황,북동,12월,소한,1:30,丑丑 고집이 매우 세고 꼼꼼하고 차분하다.
인,寅,호랑이,양,목,木,#3c3,종지뼈,역마,여유,몰아치기,청,동,1월,입춘,3:30,寅寅 활동적이고 적극적인 직업이 좋다. 작은 수술을 할 수 있다.
묘,卯,토끼,음,목,木,#3c3,뚫고나옴,도화,꾸준함,욕심이 많다,청,동,2월,경칩,5:30,卯卯 객지에 나가거나 잔병치례가 있고 일에 막힘이 있다.
진,辰,용,양,토,土,#fc6,펼침,고집,적극적,신경이 예민,황,동남,3월,청명,7:30,辰辰 사람의 생명을 다루는 직업이 좋다. 피부병 조심
사,巳,뱀,음,화,火,#f00,끝남,역마,활동성이 크다,안정감이 떨어짐,적,남,4월,입하,9:30,巳巳 활동적인 직업이 좋고 건강 주의
오,午,말,양,화,火,#f00,거역,도화,활동영역이 넓다,성격이 급함,적,남,5월,망종,11:30,午午 자신의 인기를 기반으로 하는 직업이 좋고 수술을 한번 한다.
미,未,양,음,토,土,#fc6,어두움,고집,집중력,지배받기 싫어함,황,남서,6월,소서,13:30,未未 어렵고 힘든일을 겪지만 사람의 생명과 관련된 직업을 선택하면 좋다.
신,申,원숭이,양,금,金,#fff,끌어당김,역마,지혜,잔재주가 많다,백,서,7월,입추,15:30,申申 활동적이고 움직임이 큰 직업이 좋고 끼도 있다. 사고 조심
유,酉,닭,음,금,金,#fff,이루었다,도화,재주가 많다,잔소리가 심함,백,서,8월,백로,17:30,酉酉 사람의 생명을 다루는 직업이나 끼를 발휘하는 직업이 좋다.
술,戌,개,양,토,土,#fc6,소멸되었다,고집,추진력,고집이 매우셈,황,북서,9월,한로,19:30,戌戌 해외 역마로서 유학 이민 무역 외교관 등 활동범위가 큰 직업이 좋다.
해,亥,돼지,음,수,水,#666,씨앗,역마,활동성이 크다,생각이 너무 많음,흑,북,10월,입동,21:30,亥亥 사람의 생명을 다루는 직업이나 활동 범위가 큰 직업이 좋다.